pais,fallecidos,recuperados,activos,positivos
PAN,6265,356852,4153,367270
CRI,3365,212525,49596,265486
GTM,7736,214601,12967,235304
HND,5617,81382,132289,219288
SLV,2158,65921,2301,70380
BLZ,323,12288,75,12686
NIC,181,5212,57,5450
