gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2283155725	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/28187955	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.418565	-84.005141	31236.0						2019-07-03T04:19:00	3	7	2019	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	28187955		Jim	2019-07-04T18:48:33	CC_BY_NC_4_0	Jim	Jim			2021-09-23T21:00:12.841Z	StillImage	COORDINATE_ROUNDED
2236839669	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/22353907	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.409854	-83.337838	263.0						2019-04-11T16:54:34	11	4	2019	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	22353907		Jo De Pauw	2019-04-12T01:56:33	CC_BY_NC_4_0	Jo De Pauw	Jo De Pauw			2021-09-23T21:19:40.526Z	StillImage	COORDINATE_ROUNDED
1978819696	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/18856654	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.526414	-83.561792	977.0						2012-01-19T07:42:00	19	1	2012	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	18856654		Jaime Marcelo Aranda Sánchez	2018-12-22T23:38:14	CC_BY_NC_4_0	kibby	kibby			2021-09-23T21:10:31.178Z	StillImage	COORDINATE_ROUNDED
1913186276	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/16423519	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.640454	-83.731718	210.0						2017-01-28T08:51:00	28	1	2017	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	16423519		The Jaguar's Jungle	2018-09-11T17:52:42	CC_BY_NC_4_0	The Jaguar's Jungle	The Jaguar's Jungle			2021-09-23T21:19:23.360Z	StillImage	COORDINATE_ROUNDED
1880666129	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://conabio.inaturalist.org/observations/480711	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.026743	-84.528603	31208.0						2013-12-06T00:00:00	6	12	2013	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	480711		Richard Joyce	2017-04-24T02:28:48	CC_BY_NC_4_0	mirnasalas	mirnasalas			2021-09-23T21:16:17.403Z	StillImage	COORDINATE_ROUNDED
1836600000	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/10147443	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.693212	-83.683437							2011-09-27T11:27:00	27	9	2011	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	10147443		gringocurt	2018-03-09T03:27:10	CC_BY_NC_4_0	gringocurt	gringocurt			2021-09-23T21:18:59.741Z		COORDINATE_ROUNDED
1802610864	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/3868487	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Heredia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.402607	-84.107451	4.0						2016-07-16T21:19:00	16	7	2016	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	3868487		clint_perkins	2016-08-12T17:53:50	CC_BY_NC_4_0	clint_perkins	clint_perkins			2021-09-23T20:55:42.405Z	StillImage	COORDINATE_ROUNDED
1563873476	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Cryo:3120	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Felis pardalis Linnaeus, 1758	Felis (Leopardus) pardalis Linnaeus, 1758	Linnaeus, 1758	CR	[no specific locality data]	Guanacaste	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	10.5	-85.25	301.0						2002-01-03T00:00:00	3	1	2002	2434983	2434982	PRESERVED_SPECIMEN	MCZ	Cryo	3120	JMC  1640	Judith Marie Chupasko		CC_BY_NC_4_0	President and Fellows of Harvard College	Judith Marie Chupasko			2021-10-01T01:53:10.737Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY
1562910976	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6139207	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.25996	-83.865575	3.0						2017-05-08T08:02:43	8	5	2017	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	6139207		roel de plecker	2017-05-08T14:05:05	CC_BY_NC_4_0	roel de plecker	roel de plecker			2021-09-23T20:56:11.237Z	StillImage	
1305160376	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/3958138	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Heredia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.43067	-84.007645	676.0						2010-04-06T14:19:00	6	4	2010	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	3958138		Matt Brady	2016-08-25T04:00:05	CC_BY_4_0	Matt Brady	Matt Brady			2021-09-23T21:17:45.433Z		
